month,tzs_circulation_bn,cpi_index,gdp_growth_pct,festive_month,mobile_txn_volume_mn,mobile_txn_value_bn
2018-01,4.22,115.0,6.9,0,179.5,3.48
2018-02,4.37,115.4,6.7,0,178.4,3.47
2018-03,4.3,115.7,7.0,0,183.4,3.65
2018-04,4.33,116.0,6.8,0,180.0,3.56
2018-05,4.37,116.4,7.3,0,191.6,3.7
2018-06,4.58,116.8,6.7,1,203.2,4.18
2018-07,4.84,117.2,7.0,1,205.7,4.02
2018-08,4.91,117.5,6.9,0,197.4,3.68
2018-09,4.96,117.7,7.2,0,196.5,4.11
2018-10,5.08,117.9,7.2,0,199.9,4.02
2018-11,5.18,118.2,6.7,0,214.9,4.09
2018-12,5.64,118.6,7.2,1,241.9,4.65
2019-01,5.56,118.8,6.8,0,212.8,4.26
2019-02,5.61,119.2,6.7,0,211.7,4.46
2019-03,5.66,119.6,7.0,0,229.3,4.38
2019-04,5.73,119.9,6.6,0,231.0,4.44
2019-05,5.74,120.1,6.6,0,230.9,4.65
2019-06,6.08,120.4,7.1,1,246.2,4.98
2019-07,6.3,120.8,6.5,1,249.3,4.95
2019-08,6.24,121.1,7.1,0,246.3,4.68
2019-09,6.18,121.5,6.9,0,235.6,4.8
2019-10,6.27,121.8,6.9,0,243.7,5.1
2019-11,6.38,122.1,7.0,0,255.8,4.95
2019-12,7.01,122.4,6.7,1,285.5,5.95
2020-01,7.04,122.7,1.8,0,257.7,5.73
2020-02,7.21,123.0,2.1,0,271.8,5.85
2020-03,7.02,123.4,1.4,0,270.2,6.28
2020-04,6.86,123.7,1.5,0,326.1,7.1
2020-05,7.06,124.0,1.3,1,355.4,8.09
2020-06,7.39,124.3,1.6,1,354.4,8.02
2020-07,7.82,124.5,1.2,1,310.9,6.9
2020-08,8.04,124.8,2.1,0,307.6,6.87
2020-09,8.37,125.1,2.0,0,315.0,6.85
2020-10,8.13,125.5,1.8,0,303.7,6.99
2020-11,8.12,125.7,1.7,0,315.3,7.26
2020-12,8.42,125.9,1.8,1,366.0,8.28
2021-01,8.59,126.4,4.4,0,344.1,6.25
2021-02,8.94,126.7,4.1,0,363.3,6.47
2021-03,8.82,127.2,4.6,0,367.3,6.47
2021-04,9.25,127.6,4.1,0,355.7,6.61
2021-05,9.65,127.9,4.4,1,416.6,7.45
2021-06,10.15,128.2,4.1,1,405.4,7.21
2021-07,10.32,128.6,4.6,1,423.2,7.45
2021-08,10.52,129.1,4.2,0,390.8,7.06
2021-09,10.55,129.4,4.5,0,411.0,7.37
2021-10,10.75,129.7,4.5,0,412.8,7.4
2021-11,11.26,130.2,4.2,0,427.6,7.26
2021-12,12.1,130.6,4.5,1,480.7,8.68
2022-01,11.72,131.1,4.9,0,343.5,6.96
2022-02,12.03,131.5,4.8,0,335.8,7.28
2022-03,12.28,131.9,4.5,0,355.9,6.7
2022-04,12.43,132.4,4.8,0,359.6,7.27
2022-05,12.36,133.0,4.9,1,402.0,7.78
2022-06,12.66,133.4,4.6,1,394.1,7.54
2022-07,12.71,133.9,4.7,1,394.0,7.7
2022-08,13.06,134.3,4.9,0,374.1,7.88
2022-09,13.89,134.8,4.3,0,396.2,7.69
2022-10,14.53,135.2,4.8,0,405.2,7.87
2022-11,15.01,135.6,4.5,0,382.0,7.85
2022-12,15.66,136.1,4.8,1,443.7,9.25
2023-01,15.71,136.6,5.4,0,367.5,7.35
2023-02,15.63,137.2,5.0,0,362.7,6.9
2023-03,16.37,137.7,4.8,0,381.9,7.37
2023-04,16.38,138.3,4.9,1,404.6,7.81
2023-05,16.62,138.7,5.2,0,395.0,7.41
2023-06,17.41,139.2,5.1,1,406.1,8.0
2023-07,17.18,139.6,5.2,1,414.7,8.03
2023-08,17.41,140.0,5.0,0,395.0,7.95
2023-09,17.54,140.6,4.9,0,400.7,7.85
2023-10,17.22,140.9,4.9,0,387.9,7.78
2023-11,17.32,141.3,5.3,0,393.3,7.61
2023-12,17.78,141.6,4.9,1,453.8,8.96
2024-01,18.05,142.0,5.5,0,351.4,7.21
2024-02,18.01,142.3,5.6,0,366.0,6.87
2024-03,18.48,142.7,5.5,0,366.3,6.94
2024-04,19.01,143.1,5.5,1,387.5,7.58
2024-05,18.92,143.4,5.2,0,376.0,7.34
2024-06,19.6,143.7,5.5,1,398.2,7.67
2024-07,20.56,144.0,5.5,1,388.6,7.46
2024-08,21.17,144.4,5.8,0,368.5,7.11
2024-09,20.33,144.7,5.3,0,397.5,7.26
2024-10,20.52,145.2,5.7,0,381.6,7.58
2024-11,20.59,145.5,5.5,0,384.1,7.54
2024-12,21.16,145.8,5.6,1,437.2,8.58
